stock_id,minyear,min,minLower95,minUpper95,maxyear,max,maxLower95,maxUpper95
1,2018,-1.49091495910335,-2.68486358476546,-0.281763389886656,2010,3.22937381798543,1.98653115684059,4.37336891093127
2,2018,-0.864946574878146,-6.53678957900226,4.36489851113463,2021,1.64602735970806,-3.36685480696548,6.83604555295017
3,2011,-1.23596445825017,-2.80087624878779,0.444651653061549,2006,3.46878944412498,1.8313048090027,5.01567886425248
4,2018,-0.1265250546318,-2.46611845508152,2.93029731392986,2011,7.3149511452578,5.33467397345748,9.26735348334635
5,2016,0.587328353320958,-1.5698880728443,3.00893516707189,2010,4.4693455063928,2.89745567051321,6.50778175877294
6,2021,-3.28258543605223,-4.79737719228719,-1.92077027740696,2011,4.63757628498138,3.24246540909757,6.0622183699221
7,2022,0.268087531025285,-1.30376963921478,2.70736425319972,2007,4.67141914343647,3.6381753140309,5.63378320263357
8,2019,-4.64932022346655,-7.67391648513861,-2.052828941652,2014,3.18063639028397,1.5048369642744,4.81967533369469
9,2018,-0.946888426864826,-2.72691102068757,1.04403852138849,2012,0.776625743223743,-0.703119351637238,2.23745553016405
10,2021,-1.32496486841941,-3.14703811258369,0.568588156909405,2012,2.15318130240697,0.752736310832502,3.57803242848563
11,2018,-1.2839788511454,-3.0595567697872,0.351143712531545,2009,3.71272000353721,2.60394909410494,4.7815364498681
12,2018,-2.0755702638092,-3.47244249315252,-0.396027829127276,2004,2.16285927178823,1.24040635536787,3.07146079062561
